Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514565,86695156,106,32,+,1
514566,1373631,106,32,+,1
514566,1394931,106,32,+,1
514566,16474276,107,32,+,1
514565,1625125,108,32,+,1
514565,1626631,108,32,+,1
514565,16078467,109,32,+,1
514565,16078468,109,32,+,1
514565,1637598,109,32,+,1
514565,16078471,110,32,+,1
514565,16078472,110,32,+,1
514565,1637600,111,32,+,1
514565,86454600,112,32,-,1
514565,86454601,112,32,-,1
514565,16473930,113,32,+,1
514565,1632841,114,32,+,1
514565,1640663,115,32,+,1
514565,95155651,115,32,+,1
514565,95155650,115,32,+,1
514565,95155648,115,32,+,1
514565,1640652,115,32,+,1
514565,1639176,115,32,+,1
514565,1639163,115,32,+,1
514565,1634468,115,32,+,1
514565,1634474,115,32,+,1
514565,1634473,115,32,+,1
514564,2293154,115,32,+,1
514564,2293155,116,32,-,1
514565,1634477,116,32,-,1
514565,1634478,116,32,-,1
514565,1634466,116,32,-,1
514565,1639166,116,32,-,1
514565,1640647,116,32,-,1
514565,1640650,116,32,-,1
514565,95155646,116,32,-,1
514565,95155652,116,32,-,1
514565,95155653,116,32,-,1
514565,1640661,116,32,-,1
514565,1640668,116,32,-,1
514565,91880188,117,32,+,1
514565,1626607,118,32,+,1
514565,1626669,119,32,+,1
514565,1626660,120,32,+,1
514565,91880179,121,32,+,1
514565,86454796,122,32,+,1
514565,1636058,123,32,+,1
514565,1637518,123,32,+,1
514565,1639114,124,32,+,1
514565,1639116,124,32,+,1
514565,16078755,125,32,+,1
514565,16078756,125,32,+,1
514565,1625129,126,32,+,1
514565,1626612,127,32,-,1
514565,1626629,127,32,-,1
514565,1626628,127,32,-,1
514565,1625127,128,32,-,1
514565,1628177,129,32,-,1
514565,1628183,130,32,-,1
514565,1625122,131,32,-,1
514565,86454789,132,32,-,1
514565,86454790,132,32,-,1
514565,1628178,133,32,-,1
514565,1629730,134,32,+,1
514565,1629729,134,32,+,1
514565,1626615,135,32,-,1
514565,1629731,135,32,-,1
514565,1629732,135,32,-,1
514565,1631360,136,32,+,1
514565,1628153,136,32,+,1
514565,1628141,137,32,+,1
514565,91879980,138,32,+,1
514565,16078485,139,32,+,1
514565,1629717,140,32,-,1
514565,16078483,141,32,+,1
514565,16078484,141,32,+,1
514565,1625176,142,32,+,1
514565,1629793,143,32,+,1
514565,1629794,144,32,+,1
514565,1625179,145,32,+,1
514565,91879911,145,32,+,1
514565,91879912,146,32,+,1
514565,1636007,147,32,+,1
514565,1636015,147,32,+,1
514565,1636017,147,32,+,1
514565,1629783,148,32,+,1
514565,86454595,149,32,+,1
514565,1629775,150,32,+,1
514575,2205606,151,32,+,1
514575,91879990,152,32,+,1
514565,86454793,153,32,+,1
514565,86454794,153,32,+,1
514565,1628174,154,32,+,1
514565,1628175,155,32,+,1
514565,1625155,156,32,+,1
514565,16078746,157,32,+,1
514565,16078747,157,32,+,1
514565,1626649,158,32,+,1
514565,1629782,158,32,+,1
514565,1632792,158,32,+,1
514565,1625128,159,32,+,1
514575,86404474,160,32,+,1
514575,86404475,160,32,+,1
514565,1628157,161,32,+,1
514565,1628158,161,32,+,1
514565,1626589,161,32,+,1
514566,1373640,161,32,+,1
514565,16078507,162,32,+,1
514565,16078508,162,32,+,1
514565,1626632,163,32,+,1
514565,86230190,164,32,+,1
514565,86230192,164,32,+,1
514565,86230191,165,32,-,1
514565,1625090,166,32,+,1
514565,1625089,166,32,+,1
514565,1626601,167,32,+,1
514565,1625096,168,32,+,1
514565,1625097,168,32,+,1
514565,16078486,169,32,+,1
514565,16078487,169,32,+,1
514565,1625098,170,32,-,1
514575,2205595,171,32,+,1
514575,91879997,172,32,-,1
514575,91879996,172,32,-,1
514575,2205611,172,32,-,1
514575,2205609,172,32,-,1
514565,1625178,173,32,+,1
514565,1625175,174,32,+,1
514565,1631272,175,32,+,1
514565,1631273,175,32,+,1
514575,2200949,176,32,+,1
