RoadName,Cls,Funcls,Length,Loc_Mesh,Loc_Cls,Loc_ID,Mesh,LinkID
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893422
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893423
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893425
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893427
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893429
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893431
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893433
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893434
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893435
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893436
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,15893437
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,999283
Ｇ２１２,0,0c01,0.000000,0,0,0,494457,999284
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943562
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943564
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943566
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943568
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943570
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943572
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943574
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943576
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943578
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943580
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943582
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943584
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943585
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943586
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943587
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943589
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943591
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943593
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943595
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943597
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943599
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943601
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943603
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943605
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943607
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943609
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943611
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943613
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943615
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943617
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943619
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943621
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943623
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943625
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943627
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943629
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943631
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943633
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943635
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943637
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943639
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943641
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943643
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943645
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943647
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943649
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,15943650
Ｇ２１２,0,0c01,0.000000,0,0,0,494510,836055
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943651
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943653
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943655
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943657
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943658
Ｇ２１２,0,0c01,0.000000,0,0,0,494511,15943659
